ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,LocationDescription,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,XCoordinate,YCoordinate,Year,UpdatedOn,Latitude,Longitude,Location
11366932,JB331964,07-02-2018 12:34,064XX W IRVING PARK RD,860,THEFT,RETAIL THEFT,OTHER,TRUE,FALSE,1632,16,38,17,6,1132626,1925898,2018,07-09-2018 16:19,41.95289779,-87.78786051,"(41.952897791, -87.787860507)"
11366935,JB332108,07-02-2018 13:42,043XX S MICHIGAN AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,TRUE,FALSE,215,2,3,38,26,1177883,1876204,2018,07-09-2018 16:19,41.8156239,-87.62300576,"(41.815623898, -87.623005761)"
11366942,JB332192,07-02-2018 14:04,012XX N SPRINGFIELD AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,TRUE,FALSE,2535,25,27,23,18,1150163,1907764,2018,07-09-2018 16:19,41.90281212,-87.72386663,"(41.902812122, -87.723866626)"
11366967,JB332236,07-02-2018 15:18,014XX S SAWYER AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,STREET,TRUE,FALSE,1022,10,24,29,11,1154928,1892914,2018,07-09-2018 16:19,41.861968,-87.70676207,"(41.861968004, -87.706762066)"
11366973,JB332093,07-02-2018 13:30,063XX N FRANCISCO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,2413,24,50,2,08B,1155859,1941891,2018,07-09-2018 16:19,41.99634591,-87.70202073,"(41.996345906, -87.702020727)"
11366998,JB332226,07-02-2018 15:07,004XX S CICERO AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,TRUE,FALSE,1533,15,24,25,18,1144468,1897408,2018,07-09-2018 16:19,41.87450317,-87.74504641,"(41.874503172, -87.745046411)"
11367018,JB332179,07-02-2018 14:46,016XX N LUNA AVE,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,2532,25,37,25,18,1139157,1910260,2018,07-09-2018 16:19,41.90986889,-87.76423337,"(41.909868892, -87.764233371)"
11367025,JB332088,07-02-2018 14:00,016XX S ALLPORT ST,620,BURGLARY,UNLAWFUL ENTRY,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1233,12,25,31,5,1168307,1891901,2018,07-09-2018 16:19,41.85890981,-87.65767923,"(41.858909808, -87.65767923)"
11367033,JB332096,07-02-2018 12:00,070XX S SOUTH SHORE DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,334,3,5,43,08B,1193451,1858536,2018,07-09-2018 16:19,41.76677448,-87.5664786,"(41.76677448, -87.566478603)"
11367035,JB332230,07-02-2018 15:00,038XX N HARLEM AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1631,16,38,17,08B,1127383,1924697,2018,07-09-2018 16:19,41.94969206,-87.80716159,"(41.949692061, -87.807161588)"
11367036,JB332328,07-02-2018 16:17,0000X N LECLAIRE AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE,FALSE,1533,15,28,25,18,1142386,1899704,2018,07-09-2018 16:19,41.88084259,-87.75263366,"(41.880842588, -87.752633661)"
